French_Muni;Swiss_Muni;local_admin_unit_id_from;local_admin_unit_id_to;nb_vehicles
Algolsheim - Rhin (Haut-) - fr-68001;Basel - Bâle-Ville - ch-2701;fr-68001;ch-2701;1.103865841
Altenach - Rhin (Haut-) - fr-68002;Basel - Bâle-Ville - ch-2701;fr-68002;ch-2701;2.659598665
Altkirch - Rhin (Haut-) - fr-68004;Basel - Bâle-Ville - ch-2701;fr-68004;ch-2701;35.15258665
Altkirch - Rhin (Haut-) - fr-68004;Riehen - Bâle-Ville - ch-2703;fr-68004;ch-2703;0.693908268
Altkirch - Rhin (Haut-) - fr-68004;Delémont - Jura - ch-6711;fr-68004;ch-6711;0.769209689
Altkirch - Rhin (Haut-) - fr-68004;Porrentruy - Jura - ch-6800;fr-68004;ch-6800;0.694040303
Ammerschwihr - Rhin (Haut-) - fr-68005;Basel - Bâle-Ville - ch-2701;fr-68005;ch-2701;1.710690606
Bernwiller - Rhin (Haut-) - fr-68006;Basel - Bâle-Ville - ch-2701;fr-68006;ch-2701;8.90671645
Andolsheim - Rhin (Haut-) - fr-68007;Basel - Bâle-Ville - ch-2701;fr-68007;ch-2701;2.218937096
Artzenheim - Rhin (Haut-) - fr-68009;Basel - Bâle-Ville - ch-2701;fr-68009;ch-2701;0.774786531
Aspach - Rhin (Haut-) - fr-68010;Basel - Bâle-Ville - ch-2701;fr-68010;ch-2701;7.942577877
Aspach-le-Bas - Rhin (Haut-) - fr-68011;Basel - Bâle-Ville - ch-2701;fr-68011;ch-2701;3.399816199
Aspach-Michelbach - Rhin (Haut-) - fr-68012;Basel - Bâle-Ville - ch-2701;fr-68012;ch-2701;4.584578985
Attenschwiller - Rhin (Haut-) - fr-68013;Basel - Bâle-Ville - ch-2701;fr-68013;ch-2701;25.40034085
Baldersheim - Rhin (Haut-) - fr-68015;Basel - Bâle-Ville - ch-2701;fr-68015;ch-2701;65.29810794
Baldersheim - Rhin (Haut-) - fr-68015;Riehen - Bâle-Ville - ch-2703;fr-68015;ch-2703;1.288977606
Baldersheim - Rhin (Haut-) - fr-68015;Delémont - Jura - ch-6711;fr-68015;ch-6711;1.428854661
